ID,Torneo,ANHO,SEDE,Grupo_analisis,SEDE_NUM,Goles_Peru ,Goles_contr,Resultado_g2_e1_p0,Peru_disp_gen,Peru_disp_arco,Peru_disp_afuera,Peru_disp_palo,Peru_tiros_totales,Disp_contr_gen,Disp_contra_arco,Disp_contra_afuera,Disp_contra_palo,Disp_contra_total,Peru_pases_tot,Peru_correctos_tot,Peru_incorrectos_tot,Pases_efectiv,Contr_pases_tot,Contr_correctos_tot,Contr_incorrectos_tot,Contr_efectiv,Peru_recupero,Contr_recupero,Peru_faltas,Contr_faltas,Peru_goles1er tiempo,Peru_goles2do tiempo,Contr_goles1er tiempo,Contr_goles2do tiempo,Peru_min_1er_gol,Peru_min_2do_gol,Peru_min_3er_gol,Peru_min_4to_gol,Contr_min_1er_gol,Contr_min_2do_gol,Contr_min_3er_gol,Contr_min_4to_gol,Contr_min_5to_gol,Peru_posesion,Contr_posesion,Posiciones,Puntos,Goles_dentro_area,Goles_fuera_area
23,Copa_America_Brasil,2019,,,,0,5,0,8,5,3,0,8,17,7,3,2,17,253,234,19,0.92,608,571,37,0.94,19,16,21,16,0,0,3,2,,,,,11,18,31,53,90,0.34,0.66,,4,0,0
24,Copa_America_Brasil,2019,,,,0,0,1,3,0,3,0,3,10,6,4,0,10,420,386,34,0.92,377,303,74,0.8,25,24,22,14,0,0,0,0,,,,,,,,,,0.51,0.49,,5,0,0
25,Copa_America_Brasil,2019,,,,3,0,2,9,1,5,0,9,16,9,6,1,16,242,226,16,0.93,550,482,68,0.88,18,16,17,17,2,1,0,0,20,37,90,,,,,,,0.35,0.65,,8,2,1
26,Copa_America_Brasil,2019,,,,1,3,0,7,2,4,0,7,12,3,6,0,12,346,327,19,0.95,435,395,40,0.91,13,19,22,25,1,0,2,1,43,,,,14,45,90,,,0.45,0.55,,8,1,0
27,Mundial_2018,2018,,,,0,1,0,18,11,7,0,18,10,4,5,0,10,404,370,34,0.92,340,301,39,0.89,13,17,10,18,0,0,0,1,,,,,,,,,,0.53,0.47,,0,0,0
28,Mundial_2018,2018,,,,0,1,0,11,4,6,1,11,13,6,6,0,13,453,419,34,0.92,345,282,63,0.82,23,19,15,11,0,0,1,0,,,,,33,,,,,0.55,0.45,,0,0,0
29,Mundial_2018,2018,,,,2,0,2,5,2,1,0,5,13,7,5,1,13,415,380,35,0.92,495,442,53,0.89,24,17,12,12,1,1,0,0,17,49,,,,,,,,0.46,0.54,,3,2,0
30,Copa_America_Chile,2015,,,,1,2,0,4,2,1,0,4,15,3,9,1,15,,,,,,,,,,,15,17,1,0,1,1,2,,,,4,90,,,,,,,0,1,0
31,Copa_America_Chile,2015,,,,1,0,2,9,0,8,0,9,2,2,0,0,2,,,,,,,,,,,16,13,0,1,0,0,71,,,,,,,,,,,,3,1,0
32,Copa_America_Chile,2015,,,,0,0,1,5,1,4,0,5,9,3,6,0,9,,,,,,,,,,,19,13,0,0,0,0,,,,,,,,,,,,,4,0,0
33,Copa_America_Chile,2015,,,,3,1,2,20,5,11,1,20,8,2,5,0,8,,,,,,,,,,,23,25,2,1,0,1,19,22,,,83,,,,,,,,7,3,0
34,Copa_America_Chile,2015,,,,1,2,0,9,5,3,1,9,13,2,8,1,13,,,,,,,,,,,10,14,0,1,1,1,61,,,,41,63,,,,,,,7,1,0
35,Copa_America_Chile,2015,,,,2,0,2,8,1,5,0,8,6,3,2,1,6,,,,,,,,,,,14,13,0,2,0,0,47,88,,,,,,,,,,,10,1,1
